Date,Name,Category,Type,Amount,DayOfWeek,IsWeekend,CategoryEncoded,TypeEncoded,Cluster
2024-01-21,Phở,Thực phẩm,Phải chi (Must have),40000,6.0,1,8,2,2
2024-01-21,Chuối,Thực phẩm,Phát sinh (Nice to have),11000,6.0,1,8,1,2
2024-01-21,Kem đánh răng,Sức khoẻ,Phải chi (Must have),74000,6.0,1,7,2,2
2024-01-22,Đổ xăng,Đi lại,Phải chi (Must have),50000,0.0,0,10,2,0
2024-01-22,Cà phê,Cà phê,Phát sinh (Nice to have),48000,0.0,0,0,1,1
2024-01-19,Tiền grab,Đi lại,Phát sinh (Nice to have),36000,4.0,0,10,1,1
2024-01-22,Cơm tấm,Thực phẩm,Phải chi (Must have),58000,0.0,0,8,2,0
2024-01-22,Cháo gà,Thực phẩm,Phải chi (Must have),50000,0.0,0,8,2,0
2024-01-22,Nước uống,Thực phẩm,Phải chi (Must have),10000,0.0,0,8,2,0
2024-01-22,Thuốc cảm,Sức khoẻ,Phát sinh (Nice to have),48000,0.0,0,7,1,1
2024-01-23,Bánh mì que,Thực phẩm,Phải chi (Must have),15000,1.0,0,8,2,0
2024-01-23,Ăn trưa,Thực phẩm,Phải chi (Must have),59000,1.0,0,8,2,0
2024-01-23,Trà xanh,Thực phẩm,Lãng phí (Wasted),75000,1.0,0,8,0,1
2024-01-23,Chích thuốc,Sức khoẻ,Phát sinh (Nice to have),100000,1.0,0,7,1,1
2024-01-23,Bún bò,Thực phẩm,Phải chi (Must have),40000,1.0,0,8,2,0
2024-01-23,Nước,Thực phẩm,Phải chi (Must have),26000,1.0,0,8,2,0
2024-01-23,Xịt ho,Sức khoẻ,Phát sinh (Nice to have),129000,1.0,0,7,1,1
2024-01-24,Ăn sáng,Thực phẩm,Phải chi (Must have),33000,2.0,0,8,2,0
2024-01-24,Chích thuốc cảm,Sức khoẻ,Phát sinh (Nice to have),100000,2.0,0,7,1,1
2024-01-24,Dừa,Thực phẩm,Phát sinh (Nice to have),18000,2.0,0,8,1,1
2024-01-24,Cơm tấm,Thực phẩm,Phải chi (Must have),57000,2.0,0,8,2,0
2024-01-25,Chích thuốc,Sức khoẻ,Phát sinh (Nice to have),100000,3.0,0,7,1,1
2024-01-25,Ăn sáng,Thực phẩm,Phải chi (Must have),35000,3.0,0,8,2,0
2024-01-24,Lotte,Thực phẩm,Phát sinh (Nice to have),124000,2.0,0,8,1,1
2024-01-25,Nước,Thực phẩm,Phải chi (Must have),65000,3.0,0,8,2,0
2024-01-25,Đổ xăng,Đi lại,Phải chi (Must have),50000,3.0,0,10,2,0
2024-01-25,Bánh cuốn tây sơn,Thực phẩm,Phải chi (Must have),69000,3.0,0,8,2,0
2024-01-26,Tiêm thuốc,Sức khoẻ,Phát sinh (Nice to have),100000,4.0,0,7,1,1
2024-01-26,Ăn trưa,Thực phẩm,Phải chi (Must have),47000,4.0,0,8,2,0
2024-01-26,Gửi xe cty,Đi lại,Phát sinh (Nice to have),20000,4.0,0,10,1,1
2024-01-26,Nước mía,Thực phẩm,Phát sinh (Nice to have),32000,4.0,0,8,1,1
2024-01-27,Chích thuốc,Sức khoẻ,Phát sinh (Nice to have),100000,5.0,1,7,1,2
2024-01-27,Ăn trưa,Thực phẩm,Phải chi (Must have),55000,5.0,1,8,2,2
2024-01-27,Spotify,Giải trí,Phát sinh (Nice to have),65000,5.0,1,3,1,2
2024-01-27,Cháo gói,Thực phẩm,Phải chi (Must have),50000,5.0,1,8,2,2
2024-01-27,Ăn tối,Thực phẩm,Phải chi (Must have),35000,5.0,1,8,2,2
2024-01-28,Cơm tấm,Thực phẩm,Phải chi (Must have),46000,6.0,1,8,2,2
2024-01-27,Dừa tươi,Thực phẩm,Phát sinh (Nice to have),20000,5.0,1,8,1,2
2024-01-29,Bún chả hà nội,Thực phẩm,Phải chi (Must have),60000,0.0,0,8,2,0
2024-01-29,Grab bike,Đi lại,Phát sinh (Nice to have),80000,0.0,0,10,1,1
2024-01-30,Cơm tấm,Thực phẩm,Phải chi (Must have),56000,1.0,0,8,2,0
2024-02-01,Farewell team,Other,Phát sinh (Nice to have),2300000,3.0,0,6,1,1
2024-01-31,Ăn sáng,Thực phẩm,Phải chi (Must have),33000,2.0,0,8,2,0
2024-01-31,Ăn trưA,Thực phẩm,Phải chi (Must have),78000,2.0,0,8,2,0
2024-02-01,Magic keyboard,Mua sắm,Phát sinh (Nice to have),1200000,3.0,0,5,1,1
2024-02-01,Netflix,Giải trí,Phải chi (Must have),53000,3.0,0,3,2,0
2024-02-01,Đổ xăng,Đi lại,Phải chi (Must have),50000,3.0,0,10,2,0
2024-01-31,Cà phê,Cà phê,Phát sinh (Nice to have),130000,2.0,0,0,1,1
