Date,Name,Category,Type,Amount
"January 24, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"57,000"
"January 25, 2024",Chích thuốc,Sức khoẻ,Phát sinh (Nice to have),"100,000"
"January 25, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"35,000"
"January 24, 2024",Lotte,Thực phẩm,Phát sinh (Nice to have),"124,000"
"January 25, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"January 25, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"January 25, 2024",Bánh cuốn tây sơn,Thực phẩm,Phải chi (Must have),"69,000"
"January 26, 2024",Tiêm thuốc,Sức khoẻ,Phát sinh (Nice to have),"100,000"
"January 26, 2024",Ăn trưa,Thực phẩm,Phải chi (Must have),"47,000"
"January 26, 2024",Gửi xe cty,Đi lại,Phát sinh (Nice to have),"20,000"
"January 26, 2024",Nước mía,Thực phẩm,Phát sinh (Nice to have),"32,000"
"January 27, 2024",Chích thuốc,Sức khoẻ,Phát sinh (Nice to have),"100,000"
"January 27, 2024",Ăn trưa,Thực phẩm,Phải chi (Must have),"55,000"
"January 27, 2024",Spotify,Giải trí,Phát sinh (Nice to have),"65,000"
"January 27, 2024",Cháo gói,Thực phẩm,Phải chi (Must have),"50,000"
"January 27, 2024",Ăn tối,Thực phẩm,Phải chi (Must have),"35,000"
"January 28, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"46,000"
"January 27, 2024",Dừa tươi,Thực phẩm,Phát sinh (Nice to have),"20,000"
"January 29, 2024",Bún chả hà nội,Thực phẩm,Phải chi (Must have),"60,000"
"January 29, 2024",Grab bike,Đi lại,Phát sinh (Nice to have),"80,000"
"January 30, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"56,000"
"February 1, 2024",Farewell team,Other,Phát sinh (Nice to have),"2,300,000"
"January 31, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"January 31, 2024",Ăn trưA,Thực phẩm,Phải chi (Must have),"78,000"
"February 1, 2024",Magic keyboard,Mua sắm,Phát sinh (Nice to have),"1,200,000"
"February 1, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"February 1, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"January 31, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"130,000"
"February 1, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"78,000"
