Date,Name,Category,Type,Amount
"May 3, 2024",Cà phê hạt Hummingbird,Cà phê,Phát sinh (Nice to have),"235,000"
"May 3, 2024",Phí passport,Other,Phát sinh (Nice to have),"190,000"
,,,,0
"May 3, 2024",Gạo,Thực phẩm,Phải chi (Must have),"200,000"
"May 3, 2024",Nước mía,Thực phẩm,Lãng phí (Wasted),"12,000"
"May 4, 2024",Bánh tráng trộn,Thực phẩm,Phát sinh (Nice to have),"35,000"
"May 5, 2024","Lotte - Sữa, Bánh",Thực phẩm,Phát sinh (Nice to have),"217,000"
"May 5, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"May 5, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"200,000"
"May 5, 2024",Ăn tối,Thực phẩm,Phát sinh (Nice to have),"112,000"
"May 6, 2024",Nước bình 5 lít,Thực phẩm,Phát sinh (Nice to have),"26,000"
"May 6, 2024",Nước ngọt,Thực phẩm,Lãng phí (Wasted),"10,000"
"May 7, 2024",Thuốc nhỏ mắt,Sức khoẻ,Phát sinh (Nice to have),"135,000"
"May 7, 2024",Trứng lộn + bún bò,Thực phẩm,Phát sinh (Nice to have),"60,000"
"May 8, 2024",Coffee Show 2024,Cà phê,Phát sinh (Nice to have),"302,000"
"May 9, 2024",Món Thái,Thực phẩm,Phát sinh (Nice to have),"386,000"
"May 9, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"66,000"
"May 8, 2024",Chè,Thực phẩm,Lãng phí (Wasted),"30,000"
"May 8, 2024",Đường,Thực phẩm,Phải chi (Must have),"37,000"
"May 9, 2024",Tiền nhà ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"5,650,000"
"May 10, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"36,000"
"May 11, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"35,000"
"May 11, 2024",Đi show và phê,Giải trí,Phát sinh (Nice to have),"45,000"
"May 12, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"400,000"
"May 15, 2024",Tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"720,000"
"May 12, 2024",Trứng cút,Thực phẩm,Phát sinh (Nice to have),"18,000"
"May 12, 2024",Nước ngọt,Thực phẩm,Lãng phí (Wasted),"15,000"
"May 12, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"May 13, 2024",Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"250,000"
"May 14, 2024",Chích thuốc + chuyền nước,Sức khoẻ,Phát sinh (Nice to have),"435,000"
"May 14, 2024",Vinmart,Mua sắm,Phát sinh (Nice to have),"198,000"
"May 15, 2024",Chuyền nước + chích thuốc,Sức khoẻ,Phát sinh (Nice to have),"280,000"
"May 15, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"May 16, 2024",Chuyền nước chích thuốc,Sức khoẻ,Phát sinh (Nice to have),"280,000"
"May 17, 2024",Thuốc cảm + dầu gió + chích thuốc,Sức khoẻ,Phát sinh (Nice to have),"365,000"
"May 16, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"140,000"
"May 18, 2024",Bún + giá,Thực phẩm,Phải chi (Must have),"17,000"
"May 18, 2024",Thuốc cảm,Sức khoẻ,Phát sinh (Nice to have),"130,000"
"May 18, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"May 18, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"May 18, 2024",Mèo thần tài,Mua sắm,Phát sinh (Nice to have),"819,000"
"May 18, 2024",Ăn chè,Thực phẩm,Lãng phí (Wasted),"30,000"
"May 18, 2024",Sữa chua + miếng gói,Thực phẩm,Phát sinh (Nice to have),"56,000"
"May 19, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"100,000"
"May 19, 2024",Bún chả,Thực phẩm,Phải chi (Must have),"189,000"
"May 19, 2024",Thuốc pharma,Sức khoẻ,Phát sinh (Nice to have),"74,000"
"May 20, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"25,000"
"May 20, 2024",Amazon book,Giáo dục,Phải chi (Must have),"440,000"
"May 20, 2024",Macbook Air,Giáo dục,Phát sinh (Nice to have),"12,000,000"
"May 20, 2024",Pizza,Thực phẩm,Phát sinh (Nice to have),"254,000"
"May 20, 2024",Lotte,Thực phẩm,Phát sinh (Nice to have),"261,000"
"May 21, 2024",Bánh xèo,Thực phẩm,Phát sinh (Nice to have),"171,000"
"May 21, 2024",Trà sữa Koi,Thực phẩm,Lãng phí (Wasted),"49,000"
"May 22, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"May 22, 2024",Cà phê thousand bean,Cà phê,Phát sinh (Nice to have),"105,000"
"May 22, 2024",Bún bò,Thực phẩm,Phát sinh (Nice to have),"60,000"
"May 23, 2024",Passio coffee,Cà phê,Phát sinh (Nice to have),"50,000"
"May 23, 2024",Figma plan,Giáo dục,Phát sinh (Nice to have),"425,000"
"May 24, 2024",Passio coffee,Cà phê,Phát sinh (Nice to have),"25,000"
"May 24, 2024",Bún + giá đỗ,Thực phẩm,Phải chi (Must have),"17,000"
"May 24, 2024",Dừa,Thực phẩm,Phát sinh (Nice to have),"14,000"
"May 24, 2024",Ăn Hàn Quốc,Thực phẩm,Phát sinh (Nice to have),"710,000"
"May 25, 2024",Sầu riêng,Thực phẩm,Lãng phí (Wasted),"320,000"
"May 26, 2024",Bơ,Thực phẩm,Phát sinh (Nice to have),"30,000"
"May 26, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"23,000"
"May 26, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"May 26, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"May 26, 2024",Cà phê hạt Hummingbird,Cà phê,Phải chi (Must have),"350,000"
"May 26, 2024",Uniqlo,Mua sắm,Phát sinh (Nice to have),"989,000"
"May 27, 2024",Rau + trái cây,Thực phẩm,Phải chi (Must have),"13,000"
"May 27, 2024",Lotte,Thực phẩm,Phải chi (Must have),"200,000"
"May 30, 2024",Cà phê trung nguyên,Cà phê,Lãng phí (Wasted),"114,000"
"May 30, 2024",Cơm tấm,Thực phẩm,Phát sinh (Nice to have),"105,000"
"May 30, 2024",Lotte cho trái cây + mì tôm,Thực phẩm,Phát sinh (Nice to have),"103,000"
"May 30, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"May 31, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"56,000"
"May 31, 2024",Đăng ký bằng lái xe,Đi lại,Phát sinh (Nice to have),"1,000,000"
"May 31, 2024",Lotte thực phẩm,Thực phẩm,Phát sinh (Nice to have),"160,000"
"May 31, 2024",Nước giặt,Mua sắm,Phải chi (Must have),"90,000"
"June 1, 2024",Cà phê hummingbird,Cà phê,Lãng phí (Wasted),"75,000"
"June 2, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"334,000"
"June 3, 2024",coffee passio,Cà phê,Phát sinh (Nice to have),"50,000"
"June 3, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"21,000"
"June 3, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"June 3, 2024",Nước coca,Thực phẩm,Phát sinh (Nice to have),"10,000"
"June 4, 2024",Bánh mì,Thực phẩm,Phải chi (Must have),"40,000"
"June 4, 2024",Bún tươi,Thực phẩm,Phải chi (Must have),"10,000"
"June 4, 2024",Lotte,Thực phẩm,Phát sinh (Nice to have),"200,000"
"June 9, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"June 5, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"50,000"
"June 6, 2024",Ăn cua,Thực phẩm,Phát sinh (Nice to have),"546,000"
"June 6, 2024",Cà phê passio,Cà phê,Lãng phí (Wasted),"25,000"
"June 6, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"40,000"
"June 6, 2024",Gửi xe thi bằng lái,Đi lại,Phát sinh (Nice to have),"10,000"
"June 8, 2024",Quần đùi,Mua sắm,Phát sinh (Nice to have),"127,000"
"June 8, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"56,000"
"June 8, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"25,000"
"June 8, 2024",Gửi xe,Đi lại,Phát sinh (Nice to have),"10,000"
"June 8, 2024",Cà phê hạt hummingbird,Cà phê,Phải chi (Must have),"215,000"
"June 8, 2024",Cà phê hummingbird,Cà phê,Phát sinh (Nice to have),"140,000"
"June 8, 2024",Nước,Thực phẩm,Phải chi (Must have),"75,000"
"June 6, 2024",Bắp trái,Thực phẩm,Phát sinh (Nice to have),"20,000"
"June 10, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"245,000"
"June 10, 2024",Áo thun ba lỗ,Mua sắm,Phát sinh (Nice to have),"116,000"
"June 15, 2024",Internet (1),Hoá đơn - Thanh toán định kì,Phải chi (Must have),"250,000"
"June 14, 2024",Bánh xèo phú yên (1),Thực phẩm,Phát sinh (Nice to have),"105,000"
"June 12, 2024",Lotte mart (1),Thực phẩm,,"525,000"
"June 12, 2024",Cà phê beanthere (1),Cà phê,,"59,000"
"June 13, 2024",Lotte (1),Mua sắm,Phát sinh (Nice to have),"152,000"
"June 14, 2024",Gói euro (1),Giải trí,Phát sinh (Nice to have),"66,000"
"June 12, 2024",Nước (1),Thực phẩm,,"65,000"
"June 14, 2024",Bún + giá đỗ (1),Thực phẩm,Phải chi (Must have),"17,000"
"June 11, 2024",Cơm gà (1),Thực phẩm,,"51,000"
"June 13, 2024",Cà phê passio (1),Cà phê,Lãng phí (Wasted),"54,000"
"June 12, 2024",Gà rán Lotte (1),Thực phẩm,,"155,000"
"June 15, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"5,346,000"
"June 15, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"35,000"
"June 15, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"286,000"
"June 15, 2024",Trà sữa,Thực phẩm,Lãng phí (Wasted),"49,000"
"June 16, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"June 16, 2024",Bánh bèo huế,Thực phẩm,Lãng phí (Wasted),"102,000"
"June 16, 2024",Nón bulldog,Đi lại,Phát sinh (Nice to have),"776,000"
"June 16, 2024",Cà phê  hoàng sa,Cà phê,Lãng phí (Wasted),"110,000"
"June 16, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"June 17, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"23,000"
"June 17, 2024",Gạo,Thực phẩm,Phải chi (Must have),"200,000"
"June 17, 2024",Trà sữa Sasimi,Thực phẩm,Lãng phí (Wasted),"70,000"
"June 18, 2024",Spotify premium,Giải trí,Phát sinh (Nice to have),"59,000"
"June 18, 2024",Bún,Thực phẩm,Phải chi (Must have),"10,000"
"June 18, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"147,000"
"June 18, 2024",Hớt tóc,Sức khoẻ,Phát sinh (Nice to have),"60,000"
"June 19, 2024",Mỹ phẩm ,Sức khoẻ,Phát sinh (Nice to have),"1,213,000"
"June 19, 2024",Trứng cút,Thực phẩm,Phải chi (Must have),"18,000"
"June 19, 2024",Cà phê passio,Cà phê,Lãng phí (Wasted),"50,000"
"June 19, 2024",Bún mắm,Thực phẩm,Phát sinh (Nice to have),"50,000"
"June 18, 2024",3G,Giải trí,Phát sinh (Nice to have),"7,000"
"June 20, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"June 20, 2024",Trái cây lotte,Thực phẩm,Phát sinh (Nice to have),"259,000"
"June 20, 2024",Nước xả vải,Other,Phải chi (Must have),"191,000"
"June 21, 2024",Cà phê passio,Cà phê,Lãng phí (Wasted),"50,000"
"June 22, 2024",Farewell Thuan,Other,Phát sinh (Nice to have),36
"June 23, 2024",Lotte - Rau củ,Thực phẩm,Phải chi (Must have),"765,000"
"June 24, 2024",Bánh mì,Thực phẩm,Phải chi (Must have),"9,000"
"June 24, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"June 24, 2024",Bắp + bơ,Thực phẩm,Phát sinh (Nice to have),"28,000"
"June 24, 2024",Áo thun,Mua sắm,Phát sinh (Nice to have),"64,000"
"June 24, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"June 25, 2024",Cà phê hạt hummingbird,Cà phê,Phải chi (Must have),"215,000"
"June 25, 2024",Khám sức khoẻ đi làm,Sức khoẻ,Phát sinh (Nice to have),"180,000"
"June 25, 2024",Hồ sơ xin việc công chứng,Other,Phát sinh (Nice to have),"36,000"
"June 25, 2024",Nước mắt nhân tạo,Sức khoẻ,Phải chi (Must have),"60,000"
"June 25, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"June 25, 2024",Vinmart,Thực phẩm,Lãng phí (Wasted),"82,000"
"June 26, 2024",Mắt kính Owndays,Sức khoẻ,Phát sinh (Nice to have),"961,000"
"June 26, 2024",Bún đậu,Thực phẩm,Phát sinh (Nice to have),"122,000"
"June 26, 2024",Cà phê beanthere,Thực phẩm,Phát sinh (Nice to have),"56,000"
"June 26, 2024",Đồ ăn ở quê,Thực phẩm,Phải chi (Must have),"1,500,000"
"June 28, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"June 28, 2024",Công chứng ,Other,Phát sinh (Nice to have),"12,000"
"June 28, 2024",Coffee Hoff Specialty,Cà phê,Phát sinh (Nice to have),"210,000"
"June 28, 2024",Gía đỗ,Thực phẩm,Phải chi (Must have),"7,000"
"June 28, 2024",Gửi xe,Đi lại,Phát sinh (Nice to have),"5,000"
"June 28, 2024",Giấy lọc cà phê,Cà phê,Phải chi (Must have),"132,000"
"June 29, 2024",Lotte,Thực phẩm,Phải chi (Must have),"400,000"
"June 30, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"116,000"
"July 1, 2024",Netflix ,Giải trí,Phải chi (Must have),"53,000"
"June 30, 2024",Bánh canh hẹ,Thực phẩm,Phải chi (Must have),"97,000"
"July 1, 2024",syngum,Thực phẩm,Phát sinh (Nice to have),"29,000"
"June 28, 2024",Thay nhớt xe,Đi lại,Phát sinh (Nice to have),"210,000"
"July 2, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"24,000"
"July 2, 2024",Gửi xe bảo hiểm,Đi lại,Phát sinh (Nice to have),"5,000"
"July 3, 2024",Cà phê Pasio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 3, 2024",Bún đậu,Thực phẩm,Phải chi (Must have),"53,000"
"July 3, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"July 4, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 4, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"49,000"
"July 5, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 5, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"47,000"
"July 5, 2024",Lotte,Thực phẩm,Phải chi (Must have),"113,000"
"July 5, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 5, 2024",Trà sữa,Thực phẩm,Lãng phí (Wasted),"47,000"
"July 6, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"323,000"
"July 6, 2024",Listerine,Sức khoẻ,Phải chi (Must have),"200,000"
"July 6, 2024",Lotte,Thực phẩm,Phải chi (Must have),"550,000"
"July 8, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"July 8, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 5, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,930,000"
"July 9, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 9, 2024",Nước đóng chai,Thực phẩm,Phải chi (Must have),"7,000"
"July 10, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 10, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 10, 2024",Bột giặt,Other,Phải chi (Must have),"146,000"
"July 10, 2024",Khoai lang + thanh long,Thực phẩm,Phát sinh (Nice to have),"35,000"
"July 11, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 12, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 12, 2024",Bún,Thực phẩm,Phải chi (Must have),"56,000"
"July 12, 2024",Nem cuốn bà điệp,Thực phẩm,Phải chi (Must have),"65,000"
"July 13, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"390,000"
"July 13, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"July 13, 2024",Bún bò với aD,Thực phẩm,Phát sinh (Nice to have),"160,000"
"July 13, 2024",Card điện thoại bố già,Other,Phát sinh (Nice to have),"50,000"
"July 13, 2024",Lotte - Rau - Trái cây,Thực phẩm,Phải chi (Must have),"443,700"
"July 14, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 14, 2024",Hummingbird coffee,Cà phê,Phát sinh (Nice to have),"70,000"
"July 15, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 16, 2024",Singum,Other,Phát sinh (Nice to have),"29,000"
"July 16, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 17, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 18, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 18, 2024",Thuốc pharma,Sức khoẻ,Phát sinh (Nice to have),"114,000"
"July 18, 2024",Tín dụng HSBC,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"3,494,000"
"July 19, 2024",Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"240,000"
"July 19, 2024",Spotify,Giải trí,Phát sinh (Nice to have),"65,000"
"July 19, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 19, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"50,000"
"July 19, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"July 19, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 19, 2024",Dimsum,Thực phẩm,Phát sinh (Nice to have),"685,000"
"July 20, 2024",Nhổ và trám răng,Sức khoẻ,Phát sinh (Nice to have),"2,614,000"
"July 20, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"43,000"
"July 20, 2024","Cà chua, sữa, cháo gói Lotte",Thực phẩm,Phải chi (Must have),"260,800"
"July 20, 2024",Bánh cuốn tây sơn,Thực phẩm,Phải chi (Must have),"73,000"
"July 21, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"244,000"
"July 21, 2024","Kem trị mụn, dầu gội, chống nắng",Sức khoẻ,Phát sinh (Nice to have),"934,000"
"July 21, 2024",Đồ chơi cho Tom & Bo,Mua sắm,Phát sinh (Nice to have),"540,000"
"July 22, 2024",Thuốc giải nhiệt và khẩu trang pharma,Sức khoẻ,Phát sinh (Nice to have),"89,000"
"July 22, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 22, 2024",Vé máy bay,Đi lại,Phát sinh (Nice to have),"3,186,000"
"August 1, 2024",Tiền đồ ăn ở quê,Thực phẩm,Phải chi (Must have),"1,500,000"
"July 22, 2024",Gạo,Thực phẩm,Phải chi (Must have),"200,000"
"July 22, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"July 22, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 23, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 24, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 25, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 23, 2024","Lotte - Nước lau sàn, dầu gội",Mua sắm,Phải chi (Must have),"465,000"
"July 25, 2024",Grab tới nha sỹ,Sức khoẻ,Phát sinh (Nice to have),"52,000"
"July 25, 2024",Bún bò,Thực phẩm,Phát sinh (Nice to have),"172,000"
"July 26, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 28, 2024",Gas,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"450,000"
"July 29, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 29, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"July 29, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"July 29, 2024",3G,Giải trí,Phát sinh (Nice to have),"20,000"
"July 30, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 30, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"23,000"
"July 30, 2024",Sữa bịch,Thực phẩm,Phát sinh (Nice to have),"4,000"
"July 31, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"July 31, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"July 31, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"60,000"
"August 1, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"August 1, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 1, 2024",Cơm tấm,Thực phẩm,Phải chi (Must have),"55,000"
"August 2, 2024",Bánh cuốn tây sơn,Thực phẩm,Phải chi (Must have),"69,000"
"August 2, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 3, 2024",Ăn sáng + gía,Thực phẩm,Phải chi (Must have),"30,000"
"August 3, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 3, 2024",Cà phê Hummingbird,Cà phê,Phát sinh (Nice to have),"75,000"
"August 3, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"August 3, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"July 31, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"August 4, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"August 4, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"July 29, 2024",Kẹo gum,Thực phẩm,Phát sinh (Nice to have),"29,000"
"August 4, 2024","Rau, củ, sữa lotte",Thực phẩm,Phải chi (Must have),"259,000"
"August 5, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 5, 2024",Nước GS25,Other,Lãng phí (Wasted),"31,000"
"August 5, 2024",Grab sân bay,Đi lại,Phát sinh (Nice to have),"30,000"
"August 5, 2024",Nem nướng cô điệp,Thực phẩm,Phải chi (Must have),"149,000"
"August 6, 2024",Biếu mẹ,Other,Phát sinh (Nice to have),"2,000,000"
"August 7, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 6, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 7, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 7, 2024",Về quê đám hỏi bé Xuân,Đi lại,Phát sinh (Nice to have),"3,200,000"
"August 7, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,844,000"
"August 7, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"119,000"
"August 8, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 8, 2024",Sữa chua + sữa,Thực phẩm,Phải chi (Must have),"119,000"
"August 10, 2024",Cà phê okio,Cà phê,Phát sinh (Nice to have),"155,000"
"August 10, 2024",Lotte,Thực phẩm,Phải chi (Must have),"190,000"
"August 10, 2024",Trái cây,Thực phẩm,Phải chi (Must have),"50,000"
"August 10, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"69,000"
"September 1, 2024",Kính Owndays,Sức khoẻ,Phải chi (Must have),"3,450,000"
"August 10, 2024",Cà phê hạt hummingbird,Cà phê,Phải chi (Must have),"200,000"
"August 10, 2024",Thuốc cảm và kẹo ngậm,Sức khoẻ,Phát sinh (Nice to have),"94,000"
"August 11, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"320,000"
"August 11, 2024",Thuốc cảm,Sức khoẻ,Phát sinh (Nice to have),"57,000"
"August 11, 2024",Trà sữa,Thực phẩm,Lãng phí (Wasted),"50,000"
"August 12, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 12, 2024",Passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 15, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"August 17, 2024",Phở,Thực phẩm,Phải chi (Must have),"80,000"
"August 15, 2024","Sữa chua, ăn vặt",Thực phẩm,Phát sinh (Nice to have),"149,000"
"August 16, 2024",Lotte,Mua sắm,Phải chi (Must have),"708,000"
"August 17, 2024",Giặt giày,Other,Phát sinh (Nice to have),"80,000"
"August 17, 2024",Tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"5,092,000"
"August 17, 2024",Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"240,000"
"August 17, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 17, 2024",Cà phê Okkio,Cà phê,Phát sinh (Nice to have),"155,000"
"August 17, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"141,000"
"August 17, 2024",Hót tóc,Sức khoẻ,Phải chi (Must have),"60,000"
"August 17, 2024","Mua khăn, ",Mua sắm,Phát sinh (Nice to have),"310,000"
"August 18, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"92,000"
"August 19, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"August 19, 2024",card điện thoại,Other,Phát sinh (Nice to have),"20,000"
"August 20, 2024",Ăn trưa,Thực phẩm,Phải chi (Must have),"50,000"
"August 20, 2024",Trả góp,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"5,092,000"
"August 20, 2024",Giá đỗ,Thực phẩm,Phải chi (Must have),"7,000"
"August 20, 2024",Spotify,Giải trí,Phát sinh (Nice to have),"65,000"
"August 22, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 22, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 23, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"August 23, 2024",Gửi xe,Đi lại,Phát sinh (Nice to have),"10,000"
"August 24, 2024",Ăn trưa,Thực phẩm,Phải chi (Must have),"78,000"
"August 24, 2024",Lotte,Mua sắm,Phải chi (Must have),"280,000"
"August 24, 2024",Cà phê hạt hummingbird,Cà phê,Phải chi (Must have),"215,000"
"August 25, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"August 26, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"August 25, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"84,000"
"August 25, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"90,000"
"August 25, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"213,000"
"August 25, 2024",Bánh mì + bánh trung thu,Thực phẩm,Phát sinh (Nice to have),"70,000"
"August 26, 2024",Khẩu trang + thuốc nhỏ mắt,Sức khoẻ,Phát sinh (Nice to have),"107,000"
"August 26, 2024",nước ngọt,Thực phẩm,Lãng phí (Wasted),"10,000"
"August 27, 2024",Sữa chua + bánh,Thực phẩm,Phát sinh (Nice to have),"121,000"
"August 29, 2024",Nước,Thực phẩm,Phải chi (Must have),"70,000"
"August 29, 2024",Bánh tráng trộn,Thực phẩm,Lãng phí (Wasted),"35,000"
"August 29, 2024",Sữa chua + kẹo + bánh,Thực phẩm,Phát sinh (Nice to have),"147,000"
"August 30, 2024",Bún mắm nem,Thực phẩm,Phải chi (Must have),"69,000"
